"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AON6298","Full Production","DFN5x6-8L","Single","N","100","20","46","78","16.50",,"16",,"2.40","2.85","3.40","1307","127","8","3","7.50","16.50","30","132","Industrial","No","150"
"AON6442","Full Production","DFN5x6-8L","Single","N","40","20","32","35.70","4.80","7","27.80","12.80","1.40","1.90","2.40","1830","521","43","6","7.20","23","16.50","40","Industrial","No","150"
"AON6448","Full Production","DFN5x6-8L","Single","N","80","25","65","83","9.60",,"44",,"2.70","3.20","3.70","2600","340","120","14","18","24.50","17","65","Industrial","No","150"
"AON6452","Full Production","DFN5x6-8L","Single","N","100","25","26","35","25",,"28",,"2","3.20","4","1770","165","55","10","12","17","20","82","Industrial","No","150"
"AON6482","Full Production","DFN5x6-8L","Single","N","100","20","28","75","37","42","34","18","1.60","2.10","2.70","1630","100","50","9","7","29","32","200","Industrial","No","150"
"AON6484","Full Production","DFN5x6-8L","Single","N","100","20","12","25","79","90","19.40","9.60","1.60","2.20","2.70","778","55","24","5","6","21","23","142","Industrial","No","150"
"AON6590A","Full Production","DFN5x6-8L","Single","N","40","20","100","208","0.99","1.50","100","45","1.30","1.80","2.30","8320","1438","85","7","19","69","26","83","Industrial","No","150"
"AON6850","Full Production","DFN5x6-8L","Dual","N","100","25","28","56","35",,"24",,"2.50","3.40","4","1530","155","66","8","11","16","23","83","Industrial","No","150"
"AON6884","Full Production","DFN5x6-8L","Dual","N","40","20","34","21","11.30","13.80","27.20","13.60","1.55","2.10","2.70","1500","215","135","6.40","6.40","29.60","13","35","Industrial","No","150"
"AON7140","Full Production","DFN3.3x3.3-8L","Single","N","40","20","50","46","2.30","3.50","42","18","1.40","1.85","2.40","3350","580","65","3.50","7.30","21.20","16","42","Industrial","No","150"
"AON7230","Full Production","DFN3.3x3.3-8L","Single","N","100","20","47","54","11.50","15.50","30","13","1.50","1.95","2.50","2320","175","11","3","7.80","37.80","25","120","Industrial","No","150"
"AON7232","Full Production","DFN3.3x3.3-8L","Single","N","100","20","37","39","13.50","16.50","26","12","1.50","2","2.50","1770","145","10","4.50","7.80","37.80","23","96","Industrial","No","150"
"AON7240","Full Production","DFN3x3A-8L","Single","N","40","20","40","36.70","5.10","7","27.80","12.80","1.40","1.90","2.40","1830","521","43","6","7.20","23","16.50","40","Industrial","No","150"
"AON7246E","Full Production","DFN3x3A-8L","Single","N","60","20","24","24","13.20","17.70","13.50","6.50","1.20","1.70","2.20","755","220","20","3",,,"15","49","Industrial","No","150"
"AON7254","Full Production","DFN3.3x3.3-8L","Single","N","150","20","17","39","54","66","11.50","5.50","1.70","2.15","2.70","675","78","4","2.50","6","20","37","210","Industrial","No","150"
"AON7262E","Full Production","DFN3x3A-8L","Single","N","60","20","34","43","6.20","8.50","30","15","1.20","1.65","2.20","1652","520","52","6.50","6","20","19","60","Industrial","Yes","150"
"AON7264C","Full Production","DFN3x3A-8L","Single","N","60","20","24","24","13.20","17.70","15","7.50","1.20","1.70","2.20","895","220","20","3","4","25.50","15.50","49","Industrial","Yes","150"
"AON7264E","Full Production","DFN3x3A-8L","Single","N","60","20","28","27.50","9.50","13.30","14.50","7","1.40","1.80","2.40","1100","300","28","3.50",,,"19","65","Industrial","Yes","150"
"AON7280","Full Production","DFN3.3x3.3-8L","Single","N","80","20","50","83","8.50",,"26.50",,"2.30","2.80","3.40","1871","265","14","4","11.50","21.50","32","162","Industrial","No","150"
"AON7290","Full Production","DFN3.3x3.3-8L","Single","N","100","20","50","83","12.60",,"26.50","9","2.20","2.85","3.40","2075","175","9.50","4","10","22.50","35","185","Industrial","No","150"
"AON7292","Full Production","DFN3.3x3.3-8L","Single","N","100","20","23","28","24","32","17","8","1.60","2.10","2.60","1170","90","8","3.50","5","21","24","110","Industrial","No","150"
"AON7296","Full Production","DFN3x3A-8L","Single","N","100","20","12.50","20.80","66","90","6.50","3","1.70","2.30","2.80","415","32","3","1.50","4","15","16","44","Industrial","No","150"
"AON7458","Full Production",,"Single","N","250","30","5","33","560",,,"6","3.10","3.70","4.30","306","51","3.20","1.50","14","23","77","290","Industrial","No","150"
"AON7460","Full Production","DFN3x3A-8L","Single","N","300","30","4","33","830",,,"6.80","3.30","3.90","4.50","310","45","2.90","2","17","29","88","290","Industrial","No","150"
"AOND62930","Full Production","DFN5x6-8L","Dual","N","100","20","7","7.30","68","94","6.50","3","1.70","2.35","1.80","415","32","3","2.50","4","15","16","44","Industrial","No","150"
"AONR62818","Full Production","DFN3.3x3.3-8L","Single","N","80","20","50","54","6.60","9.50","34","15","1.30","1.80","2.30","2420","280","15","4",,,"24","100","Industrial","No","150"
"AONR62921","Full Production","DFN3.3x3.3-8L","Single","N","100","20","50","54","10.20","12.60","35","15.50","1.30","1.75","2.30","2450","180","11","5",,,"25","123","Industrial","No","150"
"AONR66406","Full Production","DFN3x3A-8L","Single","N","40","20","30","27","6.10","9.40","20","8.50","1.50","2","2.50","1480","245","13","3",,,"11","21","Industrial","No","150"
"AONR66620","Full Production","DFN3x3A-8L","Single","N","60","20","24","27","9.10",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AONR66820","Full Production","DFN3.3x3.3-8L","Single","N","80","20","50","104","7.20",,"25",,"2.90","3.50","4.10","1950","470","11","4.20","10","21","28","140","Industrial","No","150"
"AONR66821","Full Production","DFN3.3x3.3-8L","Single","N","80","20","93","104","6.40","9","32","15","1.60","2.10","2.60","2280","490","11","4.10","6.50","29.50","24","122","Industrial","No","150"
"AONR66922","Full Production","DFN3.3x3.3-8L","Single","N","100","20","50","52","9","12","32.50","15","1.50","2","2.50","2180","550","13","5",,,"32","138","Industrial","No","150"
"AONR66924","Full Production","DFN3x3A-8L","Single","N","100","20","32","30","13.50","18","20.80","9.80","1.60","2.10","2.60","1450","365","10","4.40","7.50","23","34","148","Industrial","No","150"
"AONS62530","Full Production","DFN5x6-8L","Single","N","150","20","19","48","58","72","11.50","5.50","1.70","2.15","2.70","675","78","4","2.50","6","20","37","210","Industrial","No","150"
"AONS62602","Full Production","DFN5x6-8L","Single","N","60","20","85","208","2.50","3.60","78","35.50","1.50","1.90","2.50","5360","1510","95","9.50",,,"27","113","Industrial","No","150"
"AONS62614","Full Production","DFN5x6-8L","Single","N","60","20","100","119","2.50","3.40","64","32","1.20","1.60","2.20","3660","1160","108","11.50",,,"26","92","Industrial","No","150"
"AONS62614T","Full Production","DFN5x6-8L","Single","N","60","20","100","142","2.50","3.40","64","64","1.20","1.60","2.20","3660","1160","108","11.50","7.50","44","26","92","Industrial","No","175"
"AONS62618","Full Production","DFN5x6-8L","Single","N","60","20","44","56","4.70","6.30","44","21","1.30","1.80","2.30","2520","670","65","8.50",,,"22","80","Industrial","No","150"
