Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD23202W10"", ""CSD23202W10"")",-12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD23202W10"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD23202W10/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,53,2.2,,,,,-55 to 150,DSBGA,4,1.5625,1.25 x 1.25,0.078,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD16570Q5B"", ""CSD16570Q5B"")",25,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD16570Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD16570Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,0.59,0.82,456,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.652,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17577Q3A"", ""CSD17577Q3A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17577Q3A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17577Q3A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.8,6.4,83,,,,,-55 to 150,VSONP,8,10.89,3.3 x 3.3,0.151,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17577Q5A"", ""CSD17577Q5A"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17577Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17577Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4.2,5.8,83,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.167,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD75208W1015"", ""CSD75208W1015"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD75208W1015"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD75208W1015/datasheet"", ""HTML data sheet"")",-6,P-channel,Dual Common Source,,108,1.6,,,,,-55 to 150,DSBGA,6,2.1875,1.75 x 1.25,0.11,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25304W1015"", ""CSD25304W1015"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25304W1015"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25304W1015/datasheet"", ""HTML data sheet"")",-8,P-channel,Single,,32.5,3,,,,,-55 to 150,DSBGA,6,2.1875,1.75 x 1.25,0.105,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18509Q5B"", ""CSD18509Q5B"")",40,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18509Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18509Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.2,1.7,299,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.755,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18540Q5B"", ""CSD18540Q5B"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18540Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18540Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.2,3.3,221,,,,,-55 to 175,VSON-CLIP,8,30,6 x 5,0.748,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25202W15"", ""CSD25202W15"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25202W15"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25202W15/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,26,4,,,,,-55 to 150,DSBGA,9,3.0625,1.75 x 1.75,0.145,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17573Q5B"", ""CSD17573Q5B"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17573Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17573Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1,1.45,332,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.476,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17576Q5B"", ""CSD17576Q5B"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17576Q5B"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17576Q5B/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2,2.9,184,,,,,-55 to 150,VSON-CLIP,8,30,6 x 5,0.344,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17575Q3"", ""CSD17575Q3"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17575Q3"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17575Q3/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.3,3.2,182,,,,,-55 to 150,VSON-CLIP,8,10.89,3.3 x 3.3,0.281,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD23382F4"", ""CSD23382F4"")",-12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD23382F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD23382F4/datasheet"", ""HTML data sheet"")",-8,P-channel,Single,,76,3.5,,,,,-55 to 150,PICOSTAR,3,0.657225,1.035 x 0.635,0.049,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19534Q5A"", ""CSD19534Q5A"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19534Q5A"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19534Q5A/datasheet"", ""HTML data sheet"")",20,N-channel,Single,15.1,,44,,,,,-55 to 150,VSONP,8,29.4,4.9 x 6,0.275,ACTIVE
