part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
MS-650040-2,MS,650,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-650060-2,MS,650,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-775014-2,MS,775,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-775026-2,MS,775,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
MS-775040-2,MS,775,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-775060-2,MS,775,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
OC-014026-8,OC,014,26,1e+06,4.028e+08,5.15e+06,2.4e-14,0.01,3.287e-07,1.778,0,300.0,100.0,103.0,200.0,71.2,64.1
OC-014060-8,OC,014,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-014090-8,OC,014,90,3.398e+09,1.939e+09,4.26e+06,1.685e-14,0.01,4.557e-07,2.175,0,1000.0,50.0,211.0,50.0,81.6,74.9
OC-014125-8,OC,014,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-015060-8,OC,015,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-015125-8,OC,015,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-018060-8,OC,018,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-018125-8,OC,018,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-025060-8,OC,025,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-025125-8,OC,025,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-026060-8,OC,026,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-026125-8,OC,026,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-027060-8,OC,027,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-027125-8,OC,027,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-028060-8,OC,028,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-028125-8,OC,028,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-031060-8,OC,031,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-031125-8,OC,031,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-038060-8,OC,038,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-038125-8,OC,038,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-039060-8,OC,039,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-039125-8,OC,039,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
