"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"FDP100N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","10","±20","4.5","75","208","-","-","-","76","5500","20","164","530","220","TO-220-3 ","NA ","0 ","1.5077 ",
"FDP120N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","12","±20","4.5","74","170","-","-","-","66","4215","20","67","405","170","TO-220-3 ","NA ","0 ","0.9596 ",
"FDP150N10","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","15","±20","4.5","57","110","-","-","-","53","3580","15","70","340","140","TO-220-3 ","NA ","0 ","1.0038 ",
"FDP150N10A-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","15","±20","4","50","91","-","-","-","16.2","1080","3.7","55","267","11","TO-220-3 ","NA ","0 ","0.9789 ",
"FDP16AN08A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","75","16","±20","4","58","135","-","-","-","28","1857","6.4","36","288","88","TO-220-3 ","NA ","0 ","0.8414 ",
"FDP2532","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","16","±20","4","79","310","-","-","-","82","5870","19","327","615","135","TO-220-3 ","NA ","0 ","1.8162 ",
"FDP2552","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","36","±20","4","37","150","-","-","-","39","2800","8.3","242","285","55","TO-220-3 ","NA ","0 ","0.955 ",
"FDP2572","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","54","±20","4","29","135","-","-","-","26","1770","6","169","183","40","TO-220-3 ","NA ","0 ","1.0057 ",
"FDP2614","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","200","27","±30","5","62","260","-","-","-","76","5435","18","810","505","110","TO-220-3 ","NA ","0 ","2.3207 ",
"FDP2710","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","250","42.5","±30","5","50","260","-","-","-","78","5470","18","1300","426","97","TO-220-3 ","NA ","0 ","1.7854 ",
"FDP2D3N10C","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","2.3","4","4","222","214","-","-","-","108","7980","22","191","4490","40","TO-220-3 ","NA ","0 ","3.443 ",
"FDP33N25","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","250","94","±30","5","33","235","-","-","-","36.8","1640","17","1710","330","39","TO-220-3 ","NA ","0 ","0.8964 ",
"FDP3632","Active, Not Rec","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Logic","0","Single","0","100","9","±20","4","80","310","-","15","11","84","6000","20","120","820","200","TO-220-3 ","NA ","0 ","1.7208 ",
"FDP3651U","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","18","±20","5.5","80","255","-","-","-","49","4152","16","202","485","89","TO-220-3 ","NA ","0 ","1.0196 ",
"FDP3652","Active, Not Rec","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Logic","0","Single","0","100","16","±20","4","61","150","-","26","5","41","2880","10","45","390","100","TO-220-3 ","NA ","0 ","0.8185 ",
"FDP3672","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","33","±20","4","41","135","-","-","-","28","1670","6.5","42","240","55","TO-220-3 ","NA ","0 ","0.8454 ",
"FDP3682","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","36","±20","4","32","95","-","-","-","18.5","1250","4.6","90","190","45","TO-220-3 ","NA ","0 ","0.8608 ",
"FDP42AN15A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","150","42","±20","4","35","150","-","-","-","30","2040","6.5","193","216","48","TO-220-3 ","NA ","0 ","1.0988 ",
"FDP4D5N10C","Active","H Pb   ","N-Channel","PowerTrench® T8","TO-220","Small Signal","Standard","0","Single","0","100","4.5","20","4","128","150","-","-","-","48","3615","9","106","2330","18","TO-220-3 ","NA ","0 ","2.5156 ",
"FDP51N25","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","250","60","±30","5","51","320","-","-","-","55","2620","27","4000","530","63","TO-220-3 ","NA ","0 ","1.2445 ",
