Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
IRLR7821,https://www.infineon.com/part/IRLR7821,,,,,,Standard,30 V,"65 A, 65 A","IR MOSFET™, IR MOSFET™",,"10 mΩ, 10 mΩ",,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr7821-datasheet-en.pdf,"1 V, 1 V",,"12.5 mΩ, 12.5 mΩ","10 nC, 10 nC",,
IRLR8103V,https://www.infineon.com/part/IRLR8103V,,,,,,Standard,30 V,91 A,IR MOSFET™,2 V,9 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlr8103v-datasheet-en.pdf,1 V,3 V,10.5 mΩ,27 nC,,
IRLR8721,https://www.infineon.com/part/IRLR8721,,,,,,Standard,30 V,65 A,StrongIRFET™,1.9 V,8.4 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlr8721-datasheet-en.pdf,1.35 V,2.35 V,11.8 mΩ,8.5 nC,,
IRLR8721PBF-1,https://www.infineon.com/part/IRLR8721PBF-1,,,,,,Standard,30 V,65 A,StrongIRFET™,1.9 V,8.4 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irlr8721pbf-1.pdf,1.35 V,2.35 V,11.8 mΩ,8.5 nC,,
IRLR8729PBF-1,https://www.infineon.com/part/IRLR8729PBF-1,,,,,,Standard,30 V,58 A,StrongIRFET™,1.8 V,8.9 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irlr8729pbf-1.pdf,1.35 V,2.35 V,11.9 mΩ,10 nC,,
IRLSL3036,https://www.infineon.com/part/IRLSL3036,,,,,,Standard,60 V,270 A,IR MOSFET™,1.75 V,2.4 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irls3036-datasheet-en.pdf,1 V,2.5 V,2.8 mΩ,91 nC,,
IRLU2703,https://www.infineon.com/part/IRLU2703,,,,,,Standard,30 V,,Planar Mosfet,,45 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr2703-datasheet-en.pdf,,,65 mΩ,,,
IRLU2905Z,https://www.infineon.com/part/IRLU2905Z,,,,,,Standard,55 V,60 A,IR MOSFET™,2 V,13.5 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr2905z-datasheet-en.pdf,1 V,3 V,22.5 mΩ,23 nC,,
IRLU3103,https://www.infineon.com/part/IRLU3103,,,,,,Non-Automotive,30 V,,Planar Mosfet,,19 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr3103-datasheet-en.pdf,,,24 mΩ,,,
IRLU3705Z,https://www.infineon.com/part/IRLU3705Z,,,,,,Non-Automotive,55 V,,Trench Mosfet,,8 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlr3705z-datasheet-en.pdf,,,12 mΩ,,,
IRLU3802,https://www.infineon.com/part/IRLU3802,,,,,,Standard,12 V,,Planar Mosfet,,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irlr3802pbf.pdf,,,,,,
IRLZ44ZS,https://www.infineon.com/part/IRLZ44ZS,,,,,,Standard,55 V,51 A,IR MOSFET™,2 V,13.5 mΩ,,0.45 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlz44z-datasheet-en.pdf,1 V,3 V,22.5 mΩ,24 nC,,
SI4410DY,https://www.infineon.com/part/SI4410DY,,,,,,Standard,30 V,10 A,IR MOSFET™,,13.5 mΩ,30 nC,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/si4410dypbf.pdf,1 V,,20 mΩ,,,
SI4420DY,https://www.infineon.com/part/SI4420DY,,,,,,Standard,30 V,12.5 A,IR MOSFET™,,9 mΩ,52 nC,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/si4420dypbf.pdf,1 V,,13 mΩ,,,
BSZ0909ND,https://www.infineon.com/part/BSZ0909ND,,,,,,Industrial,30 V,20 A,OptiMOS™,1.6 V,18 mΩ,3.7 nC,0.4 ,N+N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsz0909nd-ds-en.pdf,1.2 V,2 V,25 mΩ,1.8 nC,,
BSC0996NS,https://www.infineon.com/part/BSC0996NS,,,,,,Industrial,34 V,13 A,OptiMOS™,,9 mΩ,15 nC,0.21 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc0996ns-ds-en.pdf,1.2 V,2 V,12 mΩ,7.2 nC,,
BSZ0910ND,https://www.infineon.com/part/BSZ0910ND,,,,,,Industrial,30 V,25 A,OptiMOS™,1.6 V,,8.2 nC,0.43 ,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-bsz0910nd-ds-en.pdf,,,13 mΩ,,,
BSC010N04LSC,https://www.infineon.com/part/BSC010N04LSC,,,,,,Industrial,40 V,282 A,OptiMOS™ 5,1.5 V,1.05 mΩ,95 nC,1.1 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsc010n04lsc-datasheet-en.pdf,1.2 V,2 V,1.35 mΩ,49 nC,,
ISZ0501NLS,https://www.infineon.com/part/ISZ0501NLS,,,,,,Standard,25 V,,OptiMOS™ PD,,3.1 mΩ,13.6 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz0501nls-datasheet-en.pdf,1.2 V,2 V,3.9 mΩ,6.3 nC,,
ISZ0901NLS,https://www.infineon.com/part/ISZ0901NLS,,,,,,Standard,25 V,,OptiMOS™ PD,,6 mΩ,9.1 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isz0901nls-datasheet-en.pdf,1.2 V,2 V,8.1 mΩ,4.4 nC,,
IRF7105PBF-1,https://www.infineon.com/part/IRF7105PBF-1,,,,,,Standard,25 V,"-2.3 A, 3.5 A",IR MOSFET™,,"100 mΩ, 250 mΩ","9.4 nC, 10 nC",,N+P,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irf7105pbf-1.pdf,"-1 V, 1 V","-3 V, 3 V","160 mΩ, 400 mΩ",,,
IRF7309PBF-1,https://www.infineon.com/part/IRF7309PBF-1,,,,,,Standard,30 V,"-3 A, 4 A",IR MOSFET™,,"50 mΩ, 100 mΩ","16.7 nC, 16.7 nC",,N+P,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irf7309pbf-1.pdf,"-1 V, 1 V",,"80 mΩ, 160 mΩ",,,
IRF7379,https://www.infineon.com/part/IRF7379,,,,,,Standard,30 V,"-4.3 A, 5.8 A",IR MOSFET™,,"45 mΩ, 90 mΩ","16.7 nC, 16.7 nC",,N+P,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irf7379-datasheet-en.pdf,"-1 V, 1 V",,"75 mΩ, 180 mΩ",,,
IRF7389PBF-1,https://www.infineon.com/part/IRF7389PBF-1,,,,,,Standard,30 V,"-5.3 A, 7.3 A",IR MOSFET™,,"29 mΩ, 58 mΩ","22 nC, 23 nC",,N+P,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irf7389pbf-1.pdf,"-1 V, 1 V",,"46 mΩ, 98 mΩ",,,
IRF7509PBF-1,https://www.infineon.com/part/IRF7509PBF-1,,,,,,Standard,30 V,"-2 A, 2.7 A",IR MOSFET™,,"110 mΩ, 200 mΩ","7.5 nC, 7.8 nC",,N+P,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irf7509pbf-1.pdf,"-1 V, 1 V",,"175 mΩ, 400 mΩ",,,
IPC302N12N3,https://www.infineon.com/part/IPC302N12N3,,,,,,,120 V,,OptiMOS™ 3,,100 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/ds-ipc302n12n3-2-5.pdf,2 V,4 V,,,,
IPC042N03L3,https://www.infineon.com/part/IPC042N03L3,,,,,,,30 V,,OptiMOS™ 3,,50 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/ds-ipc042n03l3-2-5.pdf,1 V,2.2 V,,,,
IPC022N03L3,https://www.infineon.com/part/IPC022N03L3,,,,,,,30 V,,OptiMOS™ 3,,50 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/ds-ipc022n03l3-2-5.pdf,1 V,2.2 V,,,,
IPC218N06L3,https://www.infineon.com/part/IPC218N06L3,,,,,,,,,OptiMOS™ 3,,100 mΩ,,,,https://www.infineon.com/assets/row/public/documents/non-assigned/49/ds-ipc218n06l3-2-5.pdf,1.2 V,2.2 V,,,,
IPC300N20N3,https://www.infineon.com/part/IPC300N20N3,,,,,,,,,OptiMOS™ 3,,100 mΩ,,,,https://www.infineon.com/assets/row/public/documents/non-assigned/49/ds-ipc300n20n3-2-5.pdf,2 V,4 V,,,,
IPC26N10NR,https://www.infineon.com/part/IPC26N10NR,,,,,,,100 V,,OptiMOS™ 2,,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-ipc26n10nr-ds-en.pdf,2 V,4 V,,,,
IPC171N04N,https://www.infineon.com/part/IPC171N04N,,,,,,,,,OptiMOS™ 3,,,,,,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-ipc171n04n-ds-en.pdf,2.1 V,4 V,,,,
IPC26N12NR,https://www.infineon.com/part/IPC26N12NR,,,,,,,120 V,,OptiMOS™ 3,,100 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipc26n12nr-ds-en.pdf,2 V,4 V,,,,
IPC302N25N3,https://www.infineon.com/part/IPC302N25N3,,,,,,,250 V,,OptiMOS™ 3,,100 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipc302n25n3-ds-en.pdf,2 V,4 V,,,,
BSR302N,https://www.infineon.com/part/BSR302N,,,,,,Automotive,30 V,,OptiMOS™ 2,,,,,,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-bsr302n-ds-en.pdf,1.2 V,2 V,36 mΩ,,,
BSP298,https://www.infineon.com/part/BSP298,,,,,,Automotive,400 V,,SIPMOS™,,,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-bsp298-ds-en.pdf,2.1 V,4 V,,,,
