"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"TK2R4E08QM","Datasheet","N-ch MOSFET, 80 V, 0.00244 Ω@10V, TO-220, U-MOSⅩ-H","","N-ch","80","+/-20","120","300","13000","178","210","76","113","","","","","","","0.0032","","0.00244","","3","N","TO-220","U-MOSⅩ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK2R9E10PL","Datasheet","N-ch MOSFET, 100 V, 0.0029 Ω@10V, TO-220, U-MOSⅨ-H","","N-ch","100","+/-20","240","306","9500","161","164","75","150","","","","","","0.0041","","","0.0029","","3","N","TO-220","U-MOSⅨ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","Logic-Level Gate Drive"
"TK30A06N1","Datasheet","N-ch MOSFET, 60 V, 0.015 Ω@10V, TO-220SIS, U-MOSⅧ-H","","N-ch","60","+/-20","43","25","1050","16","","39","39","","","","","","","","","0.015","","3","N","TO-220SIS","U-MOSⅧ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK30E06N1","Datasheet","N-ch MOSFET, 60 V, 0.015 Ω@10V, TO-220, U-MOSⅧ-H","","N-ch","60","+/-20","43","53","1050","16","","39","39","","","","","","","","","0.015","","3","N","TO-220","U-MOSⅧ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK30J25D","Datasheet","N-ch MOSFET, 250 V, 0.06 Ω@10V, TO-3P(N), π-MOSⅦ","","N-ch","250","+/-20","30","260","4300","100","","270","2600","","","","","","","","","0.06","","3","N","TO-3P(N)","π-MOSⅦ","","15.5 x 20.0 x 4.5","310.00","10V Gate Drive"
"TK31A60W","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-220SIS, DTMOSⅣ","","N-ch","600","+/-30","30.8","45","3000","86","","410","3500","","","","","","","","","0.088","","3","N","TO-220SIS","DTMOSⅣ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK31E60W","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-220, DTMOSⅣ","","N-ch","600","+/-30","30.8","230","3000","86","","410","3500","","","","","","","","","0.088","","3","N","TO-220","DTMOSⅣ","","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK31E60X","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-220, DTMOSⅣ-H","","N-ch","600","+/-30","30.8","230","3000","65","","410","3500","","","","","","","","","0.088","","3","N","TO-220","DTMOSⅣ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK31J60W","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-3P(N), DTMOSⅣ","","N-ch","600","+/-30","30.8","230","3000","86","","410","3500","","","","","","","","","0.088","","3","N","TO-3P(N)","DTMOSⅣ","","15.5 x 20.0 x 4.5","310.00","10V Gate Drive"
"TK31J60W5","Datasheet","N-ch MOSFET, 600 V, 0.099 Ω@10V, TO-3P(N), DTMOSⅣ","","N-ch","600","+/-30","30.8","230","3000","105","","135","600","","","","","","","","","0.099","","3","N","TO-3P(N)","DTMOSⅣ","High-speed diode","15.5 x 20.0 x 4.5","310.00","10V Gate Drive"
