Part Number,Datasheet,Stock Check,Status,Configuration,Technology,Type,Package,MSL,AEC-Q,VDS (V),VGS ±(V),ID Max. (A),VGS(th) Min. (V),VGS(th) Typ. (V),VGS(th) Max. (V),RDS(ON) @ 10V Typ. (mΩ),RDS(ON) @ 10V Max. (mΩ),RDS(ON) @ 4.5V Typ. (mΩ),RDS(ON) @ 4.5V Max. (mΩ),Qg (nC) @ 10V,Qg (nC) @ 4.5V,Qgs (nC),Qgd (nC),Ciss (pF),Coss (pF),Crss (pF),TJ Max. (°C),RoHS Compliant,Halogen-Free Standard,Solderability Standard,Terminal Finish,Product Weight(g),Flammability Rating
TSM032NH04LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM032NH04LCR_D2207.pdf,https://www.taiwansemi.com/en/stock-check/TSM032NH04LCR/,Active,Single,PerFETTM,N-Channel,PDFN56U,1.0,No,40,16,81.0,1.4,1.8,2.2,2.5,3.2,3.2,4.5,50.0,23.7,9.8,6.9,3007.0,562.0,34.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.0935,UL 94 V-0
TSM033NB04CR,https://services.taiwansemi.com/storage/resources/datasheet/TSM033NB04CR_B1804.pdf,https://www.taiwansemi.com/en/stock-check/TSM033NB04CR/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,40,20,121.0,2.0,2.9,4.0,2.4,3.3,,,77.0,,23.0,19.0,5022.0,484.0,250.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.101429,UL 94 V-0
TSM033NB04LCR,https://services.taiwansemi.com/storage/resources/datasheet/TSM033NB04LCR_B1804.pdf,https://www.taiwansemi.com/en/stock-check/TSM033NB04LCR/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,40,20,121.0,1.0,1.6,2.5,2.3,3.3,3.2,4.0,79.0,40.0,12.0,19.0,4456.0,475.0,276.0,175,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.101429,UL 94 V-0
TSM035NB04CZ,https://services.taiwansemi.com/storage/resources/datasheet/TSM035NB04CZ_A2008.pdf,https://www.taiwansemi.com/en/stock-check/TSM035NB04CZ/,Active,Single,Trench,N-Channel,TO-220,,No,40,20,157.0,2.0,2.8,4.0,2.5,3.5,,,110.0,,33.0,26.0,6990.0,667.0,334.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,2.024,UL 94 V-0
TSM035NB04LCZ,https://services.taiwansemi.com/storage/resources/datasheet/TSM035NB04LCZ_A2010.pdf,https://www.taiwansemi.com/en/stock-check/TSM035NB04LCZ/,Active,Single,Trench,N-Channel,TO-220,,No,40,20,157.0,1.0,1.7,2.5,2.5,3.5,3.2,4.2,111.0,56.0,20.0,25.0,6350.0,659.0,388.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,2.052,UL 94 V-0
TSM036N03PQ56,https://services.taiwansemi.com/storage/resources/datasheet/TSM036N03PQ56_B1607.pdf,https://www.taiwansemi.com/en/stock-check/TSM036N03PQ56/,Active,Single,Trench,N-Channel,PDFN56,1.0,No,30,20,124.0,1.2,1.6,2.5,3.0,3.6,4.0,5.5,50.0,25.0,7.3,12.0,2530.0,376.0,249.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.093916,UL 94 V-0
TSM038N03PQ33,https://services.taiwansemi.com/storage/resources/datasheet/TSM038N03PQ33_B1610.pdf,https://www.taiwansemi.com/en/stock-check/TSM038N03PQ33/,Active,Single,Trench,N-Channel,PDFN33,1.0,No,30,20,78.0,1.2,1.6,2.5,3.0,3.8,4.0,5.5,,24.0,6.9,11.0,2557.0,380.0,276.0,150,Yes,IEC 61249-2-21,J-STD-002,Matte Tin,0.028,UL 94 V-0
TSM038N04LCP,https://services.taiwansemi.com/storage/resources/datasheet/TSM038N04LCP_A1701.pdf,https://www.taiwansemi.com/en/stock-check/TSM038N04LCP/,Obsolete,Single,Trench,N-Channel,TO-252 (D-PAK),3.0,No,40,20,135.0,1.2,1.5,2.5,2.8,3.8,3.4,5.0,104.0,53.0,14.0,23.0,5509.0,548.0,332.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.32661,UL 94 V-0
TSM040N03CP,https://services.taiwansemi.com/storage/resources/datasheet/TSM040N03CP_B1807.pdf,https://www.taiwansemi.com/en/stock-check/TSM040N03CP/,Active,Single,Trench,N-Channel,TO-252 (D-PAK),3.0,No,30,20,90.0,1.2,1.6,2.5,3.1,4.0,4.5,6.0,,24.0,4.2,13.0,2200.0,280.0,177.0,150,Yes with exemption 7(a),IEC 61249-2-21,J-STD-002,Matte Tin,0.32661,UL 94 V-0
TSM042N03CS,https://services.taiwansemi.com/storage/resources/datasheet/TSM042N03CS_A14.pdf,https://www.taiwansemi.com/en/stock-check/TSM042N03CS/,Active,Single,Trench,N-Channel,SOP-8,3.0,No,30,20,30.0,1.2,1.6,2.5,3.8,4.2,5.2,6.0,,24.0,4.2,13.0,2200.0,280.0,177.0,150,Yes,IEC 61249-2-21,J-STD-002,Matte Tin,0.0725,UL 94 V-0
